spa,guc
no estoy esperando,nnojoishi taya a'atapajüin
no soy rico,nnojoishi taya washirüin
no estoy trabajando,nnojoishi a'yatain taya müinma
no estoy gritando,nnojoishi taya a'waatüin
ahora no estoy armado,maapülashi taya müinma
estoy de vacaciones,takalia süpüla eemerawaa
soy de mente abierta,jutataa ekiirü taya
estoy desbordado,alanale'esü taa'in
estoy abrumado,akulajaaipa taa'in
me duele todo,aisü tanain supüshua'a
estoy bastante dolorido,aijashaatashi taya
estoy bastante cansado,mapüsashaatashi taya
soy bastante joven,jima'aishaatayui taya
estoy bastante ocupado,kupaashatashi taya
estoy listo para irme,yapa'aichipa taya süpüla to'unuin
soy alguien responsable,lotoo akuwa'ipa taya
soy responsable,lotoo akuwa'ipa taya
estoy muy confundida,maa'awashaatashi taya
todavia estoy vivo,kataa o'uyülia taya
sigo vivo,ayatüshi kataa o'uchi taya
todavia estoy despierto,ayatüshi katüin to'u
soy el malo,taya mojulaakai
soy la mala,taya mojulaaka
yo soy el malo,taya mojulaakai
yo soy la mala,taya mojulaaka
yo soy el mas alto,taya miyo'usenuukai
estoy cansado de la tele,takülajaa amaa tü teleka
estoy muy avergonzado,japüishaataleeshi taya
de verdad lo siento,tayaawatüin takuwa'ipa sünain mojuin taa'in saa'u
soy muy desma ado,nnojoishi taya kamaürai
estoy muy hambriento,ouktashaatashi taya jamü
soy muy modesto,wayuu anamia taya
soy tu doctor,pütottotshi taya
soy tu medico,pütottotshi taya
soy tu padre,taya püshikai
yo soy tu padre,taya püshikai
soy tu amigo,pütünajutü taya
soy tu amiga,pütünajutü taya
soy tu abogado,taya püpütchipu'ui
yo soy tu hermana,püwala taya
soy tu hermana,puwala taya
lo cambie,ta'wanajain
la cambie,ta'wanajain
me corte,o'yotooshi taya
me he cortado,o'yotooshi taya
me ha ido peor,mojushaatapüsü takuwa'ipa
he hecho peor que esto,kaainjalashaatapüshi taya
estoy resfriado,oushuushi taya
estoy constipado,oushuushi taya müinma
estoy acatarrado,shunuijaashi taya
he tenido suficiente,wainmapüsü tama'ana
suficiente,keraashi taya
tuve suficiente,keraaichipa taya
ya estoy podrido,ittuichipa taya
oi eso,taapüin türa
lo he oido,taapüin
perdi la cuenta,amülouisü tü tayaawajüinka
he perdido la cuenta,amülouisü tü tayaawajüinka
tom es canadiense,kanataajewachi tom
es tom un genio,kekiishi ma'in tom
tom es un actor,ashatüi ayaakua tom
esta tom farfullando,mayaawajatulu nünüiki tom
tom esta so ando,alapüjaashi tom
tom esta contigo,naya tom pümaa
hay alguien aqui,eesü wayuu ya'aya
hay alguien en casa,eesü wayuu yaa miichipa
alguien esta lastimado,eeshi wayuu ee e'ikaain ya'aya
se lastimo alguien,eeshi jaralii eewaain ya'aya
es un maestro,wane ekirajüi nia
es maestro,ekirajüi niakai
respira,asanalüsü naa'in
el esta respirando,eeshi asanalüin naa'in
esta satisfecho,keraweechi naashin
es peligroso,kapüleesü paashin
esta hondo aqui,ketnotsü yaa
cubre aqui,pümotoloo ya'aya
es una buena noticia,wane pütchi anasü
es importante,kojutaa akuwa'ipa
no es negro,nnojotsü mütsiiyain
no es negra,nnojotsü mütsiiyain
es venenoso,epi eiyajülu'u türa
es tan tarde,aliuukaishatüipa
ya es tan tarde,aliuukaishatüipa müinma
es demasiado peque o,jo'uuchechonsü ma'in
es demasiado peque a,jo'uuchechonsü ma'in
es su libro,nükaralouktasee niakai
es ella japonesa,japonee shiaka
ella es doctora,tottora shiaka
eso es una llama,wane jierü tüsa
eso es saludable,anaakuwa'ipa tüsa
esto es un sue o,wane lapü tüü
esto es una radio,wane raawia tüü
es esto un rio,wane süchi tüü
es ese un rio,wane süshi tüsa
este coche es nuevo,jekechi e'ejenakai chii
este auto es nuevo,jekechi e'ejenakai chii
eso es correcto,shia tia
es esto demasiado grande,miyo'uleesü ma'in tüü
es hoy viernes,pienne so'uka'i
es viernes hoy,pienne so'uka'i
estamos a viernes,pienne müinma yaa
hoy es lunes,luune so'uka'i
es hoy dia de paga,sükalia awalajawa so'uka'i
no es suficiente,nnojotsü keraain süka
no es mio,nnojotsü tamüin
eso no es verdad,tüsa nnojotsü shiimüin
ese no puede ser tom,nnojotsü süpüla niainjachi tom
no se rompio,nnojotsü asottuin
no se quebro,nnojotsü asottuin
no duele,nnojotsü aalin
es una opcion,süpüla aneekaja ne'e
depende de ti,püchikejee
no es un pez,nnojotsü jimein
me molesta,süke'ejüin taa'in
se veia horrible,kashüülashaatasü
se veia barato,jayashaatapüsü
puede parecer raro,eesü süpüla waneejatüin so'u
esto puede parecer extra o,eesü süpüla waneejatüin
podria suceder,eesü süpüla müin shia
debe de ser verdad,shiimüinjatü paashin
realmente funciona,a'yataweerü müinma
verdaderamente va,shiimüinshata tü münaka
si que funciona,aa a'yataweerü
parece probable,eesiaaje süpüla müin
suena genial,anashaatasü shipijana
me parece bien,anasü sain tamüin
sabia dulce,püsiaakai saa'in
fue muy emocionante,talatüshi ma'in waa'in süka
paso hace siglos,tü maaka alatüsü cha sümaiwa
todo termino,aja'ttusu supüshua'a
todo estaba bien,anasü kasa supüshua'a
fue un honor,kojutusu tatuma paalin
era un honor,kojutusu tatuma paalin
fue emocionante,talatüsü ma'in taa'in süka
era fabuloso,anashaanasü ma'in
estaba fabuloso,anashaatapüsü ma'in
era de tom,naainjüin tom
fue muy divertido,talatshi ma'in waya süka
fue hecho a mano,aainjüüshi süka ajapü
estaba hecho a mano,aainjüüshi süka ajapü
estaba hecha a mano,aainjüüshi süka ajapü
fue hecha a mano,aainjüüshi süka ajapü
era mi sue o,ta'lapüin
fue culpa mia,tasirü
fue mi culpa,tasirü
fue romantico,anachonsü ma'in
era el mismo,niajaaya ne'e
era demasiado tarde,aliiukashaatasü soo'u ka'ika tia
era demasiado largo,aliiukashaatasü soo'u ka'ika tia
era demasiado suave,jawa'awashaanapüsü
no fue encontrado,nnojotsü antünaa anain
no importara,ja'itarua
seria divertido,eesü süpüla talatüin waa'in süka
empeorara,mojujaajerü soo'omüin
pronto llovera,e'iteerü juya maalü
es idea de tom,nünüiki tom
no es un buen momento,nnojotsü anain ka'ika süpüla maaka
es un mal momento,nnojotsü anain ka'ika süpüla maaka
es una gran ciudad,miyo'ushaanasü alijunapiapa'aka tüü
es un gran paso,miyo'ushaanasü achikanainka tüü
es un callejon sin salida,wane wopü nnojotka anain aju'itia
es una seta,wane seeta tüü
es un libro nuevo,wane karaloukta jeketü
es un atajo,wanee wopu
es una sorpresa,wanee oonjunalakuawa'ipalü
ya casi es hora,motsosü süka'alia
son casi las seis,alütsü süpüla aipirua oora
ya casi son las seis,alütsü süpüla aipirua oora
es un engendro,shia ne'e wanee süchon süle'eruusü
es artificial,saa'inyaasü
hace frio hoy,aisü jemiai no'u ka'ikai chii
hoy hace fresco,jemiashi ka'ikai chii
esta botado,ajutunüshin
es trabajo sucio,wanee a'yatawaa yarüttüsü
es dinero facil,wanee nneerü mapüleekuwa'ipalü
hoy hace bueno,anasü saa'iria no'u ka'ikai chii
es imposible,isa achikilü
es increible,mayaawata o'ulu
eso es increible,mayaawata o'ulu ti'a
increible,mayaawata o'ulu
es inevitable,makaa'inraalü o'ulia
es irrelevante,majutsai
es solo un gato,wanee muusa ne'e
es hora del almuerzo,so'oorain muetsa
es enga oso,eme'eraasü
hoy hace bueno,anasü so'uka'i
no es lunes,nnojotsü luunei
no es una bomba,nnojotsü waneei womwa
no es un pez,nnojotsü jimein
no es un juego,nnojtsü mi'rain
no es ninguna broma,nnojotsü wanee me'era
no esta roto,nnojotsü jotoolin
no es suficiente,nnojotsü kojuyain
esto no es suficiente,tü nnojotsü kojuyain
no es mi auto,nnojotsü shiain te'ejena
no es mi trabajo,nnojotsü shiain ta'yataain
no esta tan lejos,nnojotsü wattain ma'ain
es nuestro secreto,shia wejejaala
es bien bueno,anasü ma'ain
es refrescante,süsamajia waa'in
todavia esta aqui,anüüyali'ia ye'eyaa
todavia esta caliente,jaiyüli'ian
esto es sofocante,tutta atumalün
que agobio,mapüsa atumalü
es hora de irse,süka'lia o'unaa
es tiempo de irse,süka'lia o'unaa
es hora de marcharse,süka'lia o'unaa
es muy barato,ja'yasü ma'ain
esta muy limpio,wulesü ma'ain
es muy temprano,watta'a maalü ma'ain
es muy arriesgado,pasiruawaapalajatü ma'ain
es muy corto,motsoso ma'ain
es muy dulce,püsiasü ma'ain
hoy hace calor,aisü walatchi no'u ka'ikai chii
es culpa tuya,püsirün
es tu dinero,pünnetsen
jesus os quiere,aisi pia nüpüla jesuu
limitate a hacerlo rapido,kaalapü putuma ne'e
limitate a hacerlo tom,paa'inra ne'e piakai tom
limitate a trabajar,pi'yataa ne'e
solo continua,kakua pia süchiirua
solo sigue adelante,kakua ne'e süchiiru
deja que tom se vaya,pu'ulaa nu'unuin tom
deja entrar a tom,pu'ulaa nikerolüin tom
mirame,piirakaa tamüin
limitate a mirarme,piirakaa ne'e tamüin
solamente quedate cerca,makata ne'e pia miichipa'a
solo pruebatela,pu'ulaka ne'e pünain
envuelvalo por favor,puko'oloon süka anakaralu'u
tenlo en mente,pikiiru'un
tenedlo presente,jalüja paa'in
sigue sonriendo,kulemata pia waneepia
siempre rie,püsiraja waneepia
segui practicando,pu'ulajaka waneepia
sigue practicando,pu'ulajaka waneepia
siga practicando,pu'ulajakaja waneepia
sigan practicando,jo'ulakajan waneepia
guarde el cambio,pünaajaa sü'wanajaayakalü
guarda el secreto,pünaajaa ajejaalaakalü
los koalas son monos,koaalakalüirua juchiirua
el plomo es un metal,puloomokalü wanee metaarü
deja solo a tom,pu'ulaa nimiiwa'a tom
dejame a tom,pu'ulaa tamüin tom
deje un mensaje,püpüta pünüiki
deja un mensaje,püpüta pünüiki
dejadle solo,püpüta nimiiwa'a
vayase de nuestra casa,pu'una wepialu'ujee
deja la television encendida,pu'ulaa chuwatüin telewisotkalü
deja eso aqui,pu'ula türa ye'eyaa
los limones son acidos,jashü'üsü limuunakalüirua
los limones son amargos,ishisü limuunakalüirua
dejame ser feliz,pu'ulaa talatüi taya
dejame llamar a tom,pu'ulaa taanüjai tom
deja que llame a tom,pu'ulaa taanüjai tom
espera que llamo a tom,pa'atapaja taanüjai tom
dejame llevarlo,pu'ulaa teikaajaai nia
dejame averiguarlo,pu'ulaa tasakirai süchiirua
dejame arreglarlo,pu'ulaa tanaataiwa
deja que lo arregle,pu'ulaa tanaataiwa
dejame ir solo,pu'ulaa to'unain temiiwa'a
dejame ayudarte,pu'ulaa teiwaajaiwa pia
dejame ver eso,pi'yata te'eraiwa türa
a ver eso,te'erajaa türa
dejame sentarme,pu'ulaa taikalaaiwa
sentemonos,waikaajaaiwa
celebremos,wemi'ijaiwa
volvamos,wale'ejai
hagamoslo ahora,waa'irawa joolu'un
primero comamos,wekai palajanaa
comamos,wekai
comamos sushi,wekaki suushi
terminemos,wajalaje'eraiwa
remontemos barriletes,o'ote'eraawaa warileeteirua
remontemos cometas,o'ote'eraawaa kotneetairua
volemos una cometa,wawatirai wanee komeeta
volemos cometas,wawatirai komeetairua
olvidemoslo,mo'oto waa'in
tomemos un taxi,paapaai wanee we'ejetü
llevemonos bien,anaji'raa waya
emborrachemonos,weperaji'raaiwa
embriaguemonos,weperaji'raaiwa
curemonos,weiyajaaiwa
alistemonos,yapa waya
vayamos en colectivo,kolotoi waya
vayamos en coche,wo'unai we'ejenalu'u
vamos adentro,joo'uya paülü'ümüin
vamonos a la cama,joo'uya wouralu'umüin
descansemos aqui,weemeraai ye'eyaa
quedemonos aca,makata waya ye'eyaa
paremos aqui,washawale'erai ye'eyaa
intentemos otra vez,wo'ulakaiwa süchukua'a
volvamos,wale'ejai
visitemos a tom,wo'unajaawa no'u tom
esperemos aqui,wa'atapajai ye'eyaa
la vida no es facil,kapüleesü kataakalü o'uu
la vida es sue o,lapü kataakalü o'uu
la vida es extra a,kataakalü o'uu pounuasü
la vida no es facil,kapüleesü kataakalü o'uu
la vida no es equitativa,kataakalü o'uu nnojotsü wanaawaji'raai
la vida es injusta,pansaasü kataakalü o'uu
escuche usted un momento,paapaja motsomuin
cierra la oficina con llave,püsürala süka yaawe apüjanaakalü
mira al gato,piirakaa nümüin muusakai
mira al cielo,piirakaa iipünaamüin
mira el cielo,piirakaa iipünaamüin
mira detras de ti,piirakaa püchiiruamüin
aflojate la corbata,paawala pukorüwaatase
la comida esta servida,e'itaausheipa eküütkalü
achicalo,püseijan
hazlo mas peque o,jo'uuchon putuma
hazlo mas chico,jo'uuchonle'e putuma
haz ruido,ke'eira putuma
haced ruido,ke'eira putuma
armad jaleo,paa'inra wanee mi'ira metolüinsha'anain
mete boche,pikerole'era sulu'u ishichonkai
mary le ayudo a tom,shiiwaajüin maari tom
mary es modelo,maari wanee e'iyajülü she'in
mary es viuda,outa a'wayuuselü maari
mary esta resplandeciente,anachonsü ma'ain maari
mary esta radiante,anachonsü maari
maria es mi esposa,ta'wayuuse mariia
mary es mi sobrina,tasiipü maari
me puedo ir a acostar,eeshi süpüla teisalaain
puedo irme ya,eeshi süpüla to'unui joolu'ukale'e
me lo puedo probar,eesü süpüla temeriijain tanain
puede que este equivocado,eeshi süpüla totchejaain sümaa
tal vez es verdad,eesü süpüla shiimünüin
reunete conmigo esta noche,pukotchiji'raa tamaa aipa'ajeena
los hombres tienen que trabajar,acheküsü na'ayataain toolayuukana
feliz navidad,talataa su'utpunaa jemelin nüchon ma'leiwa
puedo entrar,eeshi süpüla tekeroluin
mama tiene fiebre,oushuusü maama
hace falta dinero,cho'ujaasü nneerü
mi libro esta aqui,anii takaralo'use
mi gato es negro,müsiiatai tamuusain
mi gato es blanco,kasuutai tamuusain
mi perro es blanco,kasuutai tamülüin
mi padre esta en casa,miichipa'ashi tashikai
mi pelo es largo,miyo'u ta'wala
se me volo el sombrero,awatüsü takuwoma
mi casa es grande,miyo'u tepia
mi turno termino,ajalajaasü süka'lia ta'yataai
mi camisa esta mojada,chütsü takamiisain
mi camisa esta humeda,chütsü takamiisain
mis zapatos chirrian,ke'irasü tajureekainrua
la naturaleza es cruel,keemasü mmapa'ajunakalü
nunca lo olvides,nnojolü mo'otuin paa'in
nunca me dejes ir,nnojolü pu'ulaain taya
nunca juegues aqui,nnojolü pimi'ijaain ye'eyaa
nunca digas nunca,nnojolü pümüin nnojolü
nunca hay que decir nunca,nnojolü nnojoo wamüin
nunca digas mentiras,nnojolü püküjüin pa'alain
nunca confies en tom,nnojolü poonooin nümaa tom
que gusto verte,talatüshi taya aka te'erüin pia
nadie respondio,masokotüinsalü wayuu
nadie salio herido,nnokoshi eekai sheewanüi
nadie me ama,maaliisai taya
nadie vio eso,metnüinsalü
nadie vio aquello,metnüinsalü ti'a
nadie tiene hambre,nnojoishi eeka jamüsirüin
nadie respondio,masokotüinsalü wayuu
nadie quiere eso,nnojüshi eeka acheküin ti'a
nadie lo quiere,nnojüshi eeka acheküin
no habia nadie en casa,nnojotsü wayuu miichipa'a
nada cambia,nnojotsü eekai a'wanajaain
nada es gratis,nnojotsü eekai maliain
no hay nada gratis,nnojotsü eekai maliain
ahora todo va bien,joolu'u anasü süpushua'a
ahora quedate quieto,jimata pia joolu'u
ya basta de llorar,kettaasü pi'ira
para de llorar,piimalaa sünainjee a'yalajaa
oh no te preocupes,joo nnojolü mojuin paa'in
solo se quedo tom,makatüshi ne'e tom
abre la botella,peerola maraajakalü
abran sus libros,jeerola sükaralo'utse
abra la boca,peerola paanükü
abre la boca,peerola paanükü
abra la boca,peerola paanükü
abre la boca,peerola paanükü
abre la boca,peerola paanükü
abri la boca,peerola paanükü
abrid la boca,peerola paanükü
abran la boca,jeerola jaanükü
las fiestas son divertidas,emiji'ijaakalüirua malataamaajatü
las fiestas me aburren,emiji'ijaakalüirua kakulejülesü
prestame el boligrafo,pa'anapaji'ira taya pejeerijia
por favor llama a tom,süka anakaralu'u paanaja tom
llamalo por favor,paanajapa süka anakaralu'u
por favor continue,süka anakaralu'u mache'e pia süchiirua
por favor prosiga,süka anakaralu'u mache'e pia süchiirua
por favor encuentra a tom,süka anakaralu'u pünta nünain tom
arregle eso por favor,pünaata ti'a süka anakaralu'u
por favor arregla esto,süka anakaralu'u pünaata tüü
por favor arreglad esto,süka anakaralu'u pünaata tüü
por favor arregla esto,süka anakaralu'u pünaata tüü
por favor arregle esto,süka anakaralu'u pünaata tüü
por favor arreglen esto,süka anakaralu'u jünaata tüü
continua por favor,mache'e pia süchiirua süka anakaralu'u
ayuda a tom por favor,piiwaaja tom süka anakaralu'u
por favor apurate,süka anakaralu'u kakua pia
apresurate por favor,kakua pia süka anakaralu'u
por favor sientese,süka anakaralu'u püikalaa
tome asiento por favor,püikalaa süka anakaralu'u
sentate por favor,püikalaapa süka anakaralu'u
sentate por favor,püikalaapa süka anakaralu'u
por favor sientate aqui,süka anakaralu'u püikalaa ye'eyaa
sientese aqui por favor,püikalaa ye'eyaa süka anakaralu'u
sentaos aqui por favor,püikalaa ye'eyaa süka anakaralu'u
por favor sientense aqui,süka anakaralu'u püikalaa ye'eyaa
por favor abre la boca,süka anakaralu'u peerola paanakü
por favor habla mas fuerte,süka anakaralu'u paashajaa katchimaa
coge una,paapaa wanee
coge una de estas,paapaa wanee sünaijee tüüirua
por favor diselo a tom,suka anakaralu'u püküja nümüin tom
dimelo por favor,püküja nümüin suka anakaralu'u
los precios estan altos,kojutusü ma'ain süliakalüirua
los precios son altos,kojutusü ma'ain süliakalü
ponte el sombrero,pa'ata uwomakalü
ponte el sombrero,pa'ata uwomakalü
ponte tu sombrero,pa'ata pukuwoma
ponte el sombrero,pa'ata uwomakalü
ponte tu sombrero,pa'ata pukuwoma
lee esto primero,paashaje'era tüü palajanaa
lee esto primero,paashaje'era tüü palajanaa
lean esto primero,jaashaje'era tüü palajanaa
recuerdamelo mas tarde,püsoira taa'in mapeena
quitate el sombrero,paakata uwomakalü
repite despues de mi,pu'ulaka tachiirua
repitemelo,pu'ulaka tamüin
las reglas son las reglas,sükuwa'ipamaajatükalüirua akuwa'ipaairua
ensilla mi caballo,püsiiyajaa ta'amain
cuida tu voz,paa'inmaja pünüiki
dile no a las drogas,nnojoo mmapa sümüin yükalüirua
di que me amas,aishi pia tapüla mmapa tamüin
el colegio me aburre,akulajaasü taain sutuma ekirajüleekalü
nos vemos a las cinco,e'rajiraajeena waya su'utpunaa ja'ralimüin
nos vemos esta noche,e'rajiraajeena waya aipaajeena
envielo por correo aereo,pulu'uwataa sulu'upunaa imeerü joutairu'usü
envialo por correo,pulu'uwataa sulu'upunaa imeerü
mandemelos,walu'uwataaiwairua
nos vamos ahora,o'uneena waya joolu'u
ella lo admiraba,kamalainshi sümüin shiakaa
ella adora los gatos,ai apülarü muusa shiakaa
ella ama a los gatos,ai apülarü muusa shiakaa
ella adora a los gatos,ai apülarü muusa shiakaa
ella se lo merecia,anawatsüre sümünin
ella desaparecio,amulo'isü shiakalü
ella se durmio,atunküsü shiakalü
ella lo perdono,su'laain saalii shiakalü
ella se levanto tarde,ataamaasü shiakalü jaipa ka'i
ella tenia una radio,eejachi wanee raawia süma'ana shiakalü
ella tiene un gato,eeshi wanee muusa süma'ana shiakalü
es canadiense,kanatiensen
ella es canadiense,kanatiensen shiakalü
ella es japonesa,japoneesa shiakalü
ella es una belleza,anachonsü ma'ain shiakalü
ella es un genio,shiakalü wanee ke'epülü
